time_step, rms_u, rms_v, rms_w, rms_p
339, 3.53988E-01, 4.63465E-01, 6.18251E-01, 2.15280E-01
340, 3.52850E-01, 4.64087E-01, 6.18025E-01, 2.14774E-01
341, 3.51713E-01, 4.64725E-01, 6.17792E-01, 2.14280E-01
342, 3.50579E-01, 4.65379E-01, 6.17553E-01, 2.13799E-01
343, 3.49448E-01, 4.66047E-01, 6.17307E-01, 2.13332E-01
344, 3.48318E-01, 4.66731E-01, 6.17055E-01, 2.12878E-01
345, 3.47192E-01, 4.67430E-01, 6.16795E-01, 2.12439E-01
346, 3.46068E-01, 4.68144E-01, 6.16527E-01, 2.12014E-01
347, 3.44948E-01, 4.68872E-01, 6.16252E-01, 2.11605E-01
348, 3.43830E-01, 4.69615E-01, 6.15969E-01, 2.11212E-01
349, 3.42716E-01, 4.70372E-01, 6.15679E-01, 2.10835E-01
350, 3.41606E-01, 4.71144E-01, 6.15380E-01, 2.10474E-01
351, 3.40498E-01, 4.71929E-01, 6.15074E-01, 2.10131E-01
352, 3.39395E-01, 4.72728E-01, 6.14759E-01, 2.09804E-01
353, 3.38296E-01, 4.73541E-01, 6.14435E-01, 2.09495E-01
354, 3.37201E-01, 4.74366E-01, 6.14103E-01, 2.09204E-01
355, 3.36111E-01, 4.75205E-01, 6.13762E-01, 2.08931E-01
356, 3.35025E-01, 4.76057E-01, 6.13412E-01, 2.08677E-01
357, 3.33944E-01, 4.76921E-01, 6.13053E-01, 2.08442E-01
358, 3.32868E-01, 4.77797E-01, 6.12685E-01, 2.08225E-01
359, 3.31798E-01, 4.78684E-01, 6.12307E-01, 2.08029E-01
360, 3.30734E-01, 4.79584E-01, 6.11920E-01, 2.07852E-01
361, 3.29675E-01, 4.80495E-01, 6.11524E-01, 2.07695E-01
362, 3.28623E-01, 4.81416E-01, 6.11117E-01, 2.07559E-01
363, 3.27578E-01, 4.82348E-01, 6.10702E-01, 2.07443E-01
364, 3.26539E-01, 4.83291E-01, 6.10276E-01, 2.07348E-01
