time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
147, 2.35696E-05, 1.18250E-05, 6.63723E-06, 5.63170E-06, 5.42050E-07, 4.41473E-07, 3.43724E-07, 9.03401E-07
148, 2.36816E-05, 1.18235E-05, 6.67289E-06, 5.63787E-06, 5.41644E-07, 4.41267E-07, 3.43490E-07, 9.10648E-07
149, 2.37928E-05, 1.18216E-05, 6.70830E-06, 5.64377E-06, 5.41235E-07, 4.41061E-07, 3.43259E-07, 9.17934E-07
150, 2.39032E-05, 1.18191E-05, 6.74347E-06, 5.64941E-06, 5.40825E-07, 4.40857E-07, 3.43031E-07, 9.25253E-07
151, 2.40127E-05, 1.18160E-05, 6.77838E-06, 5.65479E-06, 5.40410E-07, 4.40651E-07, 3.42801E-07, 9.32609E-07
152, 2.41214E-05, 1.18124E-05, 6.81303E-06, 5.65990E-06, 5.39986E-07, 4.40446E-07, 3.42571E-07, 9.39995E-07
153, 2.42293E-05, 1.18083E-05, 6.84742E-06, 5.66475E-06, 5.39556E-07, 4.40237E-07, 3.42341E-07, 9.47415E-07
154, 2.43362E-05, 1.18037E-05, 6.88153E-06, 5.66933E-06, 5.39121E-07, 4.40031E-07, 3.42112E-07, 9.54869E-07
155, 2.44423E-05, 1.17985E-05, 6.91536E-06, 5.67365E-06, 5.38696E-07, 4.39832E-07, 3.41886E-07, 9.62354E-07
156, 2.45474E-05, 1.17928E-05, 6.94890E-06, 5.67770E-06, 5.38298E-07, 4.39632E-07, 3.41659E-07, 9.69869E-07
157, 2.46517E-05, 1.17866E-05, 6.98215E-06, 5.68149E-06, 5.37896E-07, 4.39429E-07, 3.41431E-07, 9.77418E-07
158, 2.47550E-05, 1.17798E-05, 7.01510E-06, 5.68502E-06, 5.37484E-07, 4.39225E-07, 3.41201E-07, 9.84998E-07
159, 2.48573E-05, 1.17725E-05, 7.04774E-06, 5.68828E-06, 5.37066E-07, 4.39022E-07, 3.40971E-07, 9.92609E-07
160, 2.49587E-05, 1.17647E-05, 7.08008E-06, 5.69128E-06, 5.36640E-07, 4.38819E-07, 3.40742E-07, 1.00025E-06
161, 2.50591E-05, 1.17563E-05, 7.11209E-06, 5.69402E-06, 5.36209E-07, 4.38615E-07, 3.40510E-07, 1.00792E-06
162, 2.51586E-05, 1.17473E-05, 7.14378E-06, 5.69650E-06, 5.35772E-07, 4.38409E-07, 3.40278E-07, 1.01563E-06
163, 2.52570E-05, 1.17379E-05, 7.17514E-06, 5.69872E-06, 5.35332E-07, 4.38200E-07, 3.40047E-07, 1.02337E-06
164, 2.53544E-05, 1.17279E-05, 7.20615E-06, 5.70067E-06, 5.34884E-07, 4.37995E-07, 3.39817E-07, 1.03113E-06
165, 2.54508E-05, 1.17174E-05, 7.23683E-06, 5.70237E-06, 5.34448E-07, 4.37784E-07, 3.39586E-07, 1.03892E-06
166, 2.55462E-05, 1.17063E-05, 7.26715E-06, 5.70380E-06, 5.34023E-07, 4.37569E-07, 3.39357E-07, 1.04675E-06
167, 2.56405E-05, 1.16947E-05, 7.29712E-06, 5.70498E-06, 5.33599E-07, 4.37359E-07, 3.39133E-07, 1.05460E-06
168, 2.57337E-05, 1.16825E-05, 7.32672E-06, 5.70590E-06, 5.33180E-07, 4.37147E-07, 3.38912E-07, 1.06248E-06
169, 2.58259E-05, 1.16698E-05, 7.35595E-06, 5.70656E-06, 5.32758E-07, 4.36933E-07, 3.38698E-07, 1.07038E-06
170, 2.59170E-05, 1.16734E-05, 7.38481E-06, 5.70697E-06, 5.32339E-07, 4.36718E-07, 3.38487E-07, 1.07831E-06
171, 2.60070E-05, 1.17028E-05, 7.41328E-06, 5.70712E-06, 5.31915E-07, 4.36501E-07, 3.38278E-07, 1.08626E-06
172, 2.60959E-05, 1.17318E-05, 7.44137E-06, 5.70702E-06, 5.31498E-07, 4.36284E-07, 3.38074E-07, 1.09424E-06
173, 2.61836E-05, 1.17603E-05, 7.46906E-06, 5.70666E-06, 5.31076E-07, 4.36063E-07, 3.37868E-07, 1.10223E-06
174, 2.62702E-05, 1.17884E-05, 7.49635E-06, 5.70606E-06, 5.30647E-07, 4.35840E-07, 3.37661E-07, 1.11026E-06
175, 2.63557E-05, 1.18161E-05, 7.52323E-06, 5.70520E-06, 5.30225E-07, 4.35617E-07, 3.37453E-07, 1.11831E-06
176, 2.64400E-05, 1.18434E-05, 7.54970E-06, 5.70409E-06, 5.29798E-07, 4.35395E-07, 3.37243E-07, 1.12639E-06
177, 2.65656E-05, 1.18702E-05, 7.57575E-06, 5.70274E-06, 5.29365E-07, 4.35181E-07, 3.37031E-07, 1.13449E-06
