time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
101, 1.90278E-05, 1.14734E-05, 4.84435E-06, 1.94309E-05, 5.63468E-07, 4.53484E-07, 3.56285E-07, 3.11607E-06
102, 1.91333E-05, 1.14883E-05, 4.88702E-06, 1.89918E-05, 5.62902E-07, 4.52959E-07, 3.56010E-07, 3.59412E-06
103, 1.92363E-05, 1.15029E-05, 4.92938E-06, 1.80462E-05, 5.62368E-07, 4.52447E-07, 3.55740E-07, 4.06458E-06
104, 1.93366E-05, 1.15170E-05, 4.97141E-06, 1.66904E-05, 5.61865E-07, 4.51947E-07, 3.55464E-07, 4.50570E-06
105, 1.94342E-05, 1.15308E-05, 5.01307E-06, 1.88031E-05, 5.61372E-07, 4.51471E-07, 3.55170E-07, 4.89611E-06
106, 1.95289E-05, 1.15442E-05, 5.05436E-06, 2.14887E-05, 5.60892E-07, 4.51020E-07, 3.54861E-07, 5.22648E-06
107, 1.96208E-05, 1.15572E-05, 5.09529E-06, 2.36885E-05, 5.60419E-07, 4.50605E-07, 3.54537E-07, 5.46991E-06
108, 1.97099E-05, 1.15697E-05, 5.13588E-06, 2.53618E-05, 5.59951E-07, 4.50230E-07, 3.54202E-07, 5.61768E-06
109, 1.97964E-05, 1.15818E-05, 5.17613E-06, 2.64822E-05, 5.59478E-07, 4.49898E-07, 3.53865E-07, 5.67021E-06
110, 1.98803E-05, 1.15934E-05, 5.21608E-06, 2.70379E-05, 5.59007E-07, 4.49618E-07, 3.53527E-07, 5.62990E-06
111, 1.99619E-05, 1.16046E-05, 5.25576E-06, 2.70315E-05, 5.58555E-07, 4.49402E-07, 3.53196E-07, 5.49374E-06
112, 2.00414E-05, 1.16153E-05, 5.29518E-06, 2.64797E-05, 5.58151E-07, 4.49270E-07, 3.52893E-07, 5.26314E-06
113, 2.01188E-05, 1.16255E-05, 5.33438E-06, 2.54122E-05, 5.57764E-07, 4.49198E-07, 3.52626E-07, 4.94329E-06
114, 2.01945E-05, 1.16353E-05, 5.37338E-06, 2.38704E-05, 5.57371E-07, 4.49141E-07, 3.52368E-07, 4.54235E-06
115, 2.02686E-05, 1.16447E-05, 5.41222E-06, 2.19055E-05, 5.56954E-07, 4.49083E-07, 3.52113E-07, 4.07180E-06
116, 2.03412E-05, 1.16538E-05, 5.45092E-06, 1.95765E-05, 5.56532E-07, 4.49023E-07, 3.51858E-07, 3.54450E-06
117, 2.04125E-05, 1.16625E-05, 5.48952E-06, 1.78704E-05, 5.56094E-07, 4.48955E-07, 3.51602E-07, 2.97572E-06
118, 2.04825E-05, 1.16708E-05, 5.52807E-06, 1.67306E-05, 5.55628E-07, 4.48867E-07, 3.51347E-07, 2.38583E-06
119, 2.05513E-05, 1.16788E-05, 5.56660E-06, 1.51479E-05, 5.55140E-07, 4.48749E-07, 3.51089E-07, 1.79626E-06
120, 2.06188E-05, 1.16866E-05, 5.60516E-06, 1.31010E-05, 5.54630E-07, 4.48596E-07, 3.50829E-07, 1.25771E-06
121, 2.06851E-05, 1.16940E-05, 5.64379E-06, 1.05917E-05, 5.54095E-07, 4.48407E-07, 3.50562E-07, 9.15708E-07
122, 2.07501E-05, 1.17012E-05, 5.68253E-06, 7.64710E-06, 5.53545E-07, 4.48182E-07, 3.50288E-07, 9.38203E-07
123, 2.08136E-05, 1.17081E-05, 5.72141E-06, 6.72010E-06, 5.52986E-07, 4.47917E-07, 3.50009E-07, 1.27982E-06
