time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
134, 2.28864E-03, 1.32520E-03, 6.06534E-04, 1.88430E-03, 7.50079E-05, 5.94304E-05, 4.84973E-05, 2.85313E-04
135, 2.30537E-03, 1.33239E-03, 6.11135E-04, 1.88615E-03, 7.55184E-05, 5.98406E-05, 4.88384E-05, 2.84895E-04
136, 2.32187E-03, 1.33946E-03, 6.15667E-04, 1.88803E-03, 7.60282E-05, 6.02499E-05, 4.91790E-05, 2.84497E-04
137, 2.33814E-03, 1.34642E-03, 6.20128E-04, 1.88994E-03, 7.65377E-05, 6.06587E-05, 4.95192E-05, 2.84121E-04
138, 2.35416E-03, 1.35326E-03, 6.24517E-04, 1.89188E-03, 7.70468E-05, 6.10669E-05, 4.98595E-05, 2.83771E-04
139, 2.37757E-03, 1.35998E-03, 6.28834E-04, 1.89386E-03, 7.75545E-05, 6.14750E-05, 5.02001E-05, 2.83447E-04
140, 2.40224E-03, 1.36659E-03, 6.33076E-04, 1.89587E-03, 7.80618E-05, 6.18826E-05, 5.05402E-05, 2.83153E-04
141, 2.42689E-03, 1.37307E-03, 6.37243E-04, 1.89792E-03, 7.85674E-05, 6.22894E-05, 5.08797E-05, 2.82888E-04
142, 2.45151E-03, 1.37944E-03, 6.41333E-04, 1.90000E-03, 7.90752E-05, 6.26955E-05, 5.12188E-05, 2.82660E-04
143, 2.47611E-03, 1.38660E-03, 6.45345E-04, 1.90211E-03, 7.95848E-05, 6.31019E-05, 5.15580E-05, 2.82467E-04
144, 2.50068E-03, 1.39938E-03, 6.49279E-04, 1.90425E-03, 8.00934E-05, 6.35081E-05, 5.18966E-05, 2.82309E-04
145, 2.52521E-03, 1.41214E-03, 6.53132E-04, 1.90643E-03, 8.06005E-05, 6.39143E-05, 5.22346E-05, 2.82189E-04
