time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
79, 5.68122E-03, 3.15005E-03, 1.40645E-03, 3.90637E-03, 1.74562E-04, 1.38498E-04, 1.13314E-04, 5.68245E-04
80, 5.81580E-03, 3.19923E-03, 1.42264E-03, 3.94897E-03, 1.76536E-04, 1.40092E-04, 1.14654E-04, 5.70146E-04
81, 5.95101E-03, 3.24799E-03, 1.44052E-03, 3.99151E-03, 1.78503E-04, 1.41684E-04, 1.15999E-04, 5.72513E-04
82, 6.08678E-03, 3.29630E-03, 1.45763E-03, 4.03396E-03, 1.80461E-04, 1.43271E-04, 1.17345E-04, 5.75371E-04
83, 6.22306E-03, 3.34412E-03, 1.47394E-03, 4.07633E-03, 1.82407E-04, 1.44852E-04, 1.18686E-04, 5.78711E-04
84, 6.35975E-03, 3.39145E-03, 1.48942E-03, 4.11859E-03, 1.84340E-04, 1.46427E-04, 1.20023E-04, 5.82527E-04
85, 6.49680E-03, 3.43824E-03, 1.50405E-03, 4.16073E-03, 1.86266E-04, 1.48003E-04, 1.21354E-04, 5.86869E-04
86, 6.63411E-03, 3.48447E-03, 1.51778E-03, 4.20274E-03, 1.88174E-04, 1.49576E-04, 1.22684E-04, 5.91778E-04
87, 6.77162E-03, 3.53012E-03, 1.53491E-03, 4.24461E-03, 1.90074E-04, 1.51149E-04, 1.24014E-04, 5.97273E-04
88, 6.90925E-03, 3.57516E-03, 1.55662E-03, 4.28633E-03, 1.91977E-04, 1.52720E-04, 1.25341E-04, 6.03344E-04
89, 7.04691E-03, 3.61956E-03, 1.57796E-03, 4.32787E-03, 1.93881E-04, 1.54286E-04, 1.26662E-04, 6.10005E-04
90, 7.18453E-03, 3.66329E-03, 1.59887E-03, 4.36924E-03, 1.95787E-04, 1.55847E-04, 1.27983E-04, 6.17226E-04
91, 7.32202E-03, 3.70634E-03, 1.61935E-03, 4.41041E-03, 1.97695E-04, 1.57403E-04, 1.29301E-04, 6.24986E-04
92, 7.45929E-03, 3.74867E-03, 1.63937E-03, 4.45138E-03, 1.99602E-04, 1.58957E-04, 1.30614E-04, 6.33292E-04
93, 7.59627E-03, 3.79026E-03, 1.65889E-03, 4.49212E-03, 2.01506E-04, 1.60503E-04, 1.31922E-04, 6.42177E-04
94, 7.73286E-03, 3.83108E-03, 1.68027E-03, 4.53263E-03, 2.03406E-04, 1.62046E-04, 1.33224E-04, 6.51644E-04
95, 7.86898E-03, 3.87112E-03, 1.71234E-03, 4.57289E-03, 2.05297E-04, 1.63587E-04, 1.34526E-04, 6.61724E-04
96, 8.00454E-03, 3.91034E-03, 1.74398E-03, 4.61289E-03, 2.07181E-04, 1.65124E-04, 1.35830E-04, 6.72366E-04
97, 8.13945E-03, 3.94871E-03, 1.77872E-03, 4.65262E-03, 2.09052E-04, 1.66657E-04, 1.37132E-04, 6.83574E-04
98, 8.27361E-03, 3.98623E-03, 1.82336E-03, 4.69205E-03, 2.10926E-04, 1.68191E-04, 1.38432E-04, 6.95382E-04
99, 8.40695E-03, 4.02286E-03, 1.86833E-03, 4.73119E-03, 2.12798E-04, 1.69721E-04, 1.39728E-04, 7.07776E-04
100, 8.53935E-03, 4.05858E-03, 1.91358E-03, 4.77000E-03, 2.14663E-04, 1.71244E-04, 1.41025E-04, 7.20716E-04
101, 8.67074E-03, 4.09337E-03, 1.95910E-03, 4.80849E-03, 2.16520E-04, 1.72768E-04, 1.42320E-04, 7.34216E-04
102, 8.80102E-03, 4.12720E-03, 2.00486E-03, 4.84663E-03, 2.18365E-04, 1.74286E-04, 1.43612E-04, 7.48291E-04
103, 8.93009E-03, 4.16006E-03, 2.05083E-03, 4.88441E-03, 2.20205E-04, 1.75806E-04, 1.44903E-04, 7.62940E-04
104, 9.05785E-03, 4.19192E-03, 2.09698E-03, 4.92182E-03, 2.22040E-04, 1.77322E-04, 1.46188E-04, 7.78116E-04
105, 9.18422E-03, 4.22276E-03, 2.14328E-03, 4.95885E-03, 2.23878E-04, 1.78840E-04, 1.47469E-04, 7.93842E-04
106, 9.30910E-03, 4.25256E-03, 2.18971E-03, 4.99547E-03, 2.25705E-04, 1.80355E-04, 1.48744E-04, 8.10143E-04
107, 9.43238E-03, 4.28130E-03, 2.23624E-03, 5.03167E-03, 2.27524E-04, 1.81864E-04, 1.50022E-04, 8.27060E-04
108, 9.55398E-03, 4.30897E-03, 2.28282E-03, 5.06745E-03, 2.29333E-04, 1.83365E-04, 1.51296E-04, 8.44536E-04
109, 9.67379E-03, 4.33554E-03, 2.32944E-03, 5.10278E-03, 2.31136E-04, 1.84866E-04, 1.52565E-04, 8.62540E-04
110, 9.79172E-03, 4.36099E-03, 2.37606E-03, 5.13766E-03, 2.32951E-04, 1.86366E-04, 1.53834E-04, 8.81107E-04
111, 9.90766E-03, 4.38530E-03, 2.42264E-03, 5.17207E-03, 2.34763E-04, 1.87865E-04, 1.55102E-04, 9.00233E-04
112, 1.00215E-02, 4.40847E-03, 2.46915E-03, 5.20598E-03, 2.36566E-04, 1.89370E-04, 1.56365E-04, 9.19862E-04
113, 1.01332E-02, 4.43047E-03, 2.51556E-03, 5.23940E-03, 2.38357E-04, 1.90868E-04, 1.57622E-04, 9.39984E-04
114, 1.02426E-02, 4.45128E-03, 2.56183E-03, 5.27231E-03, 2.40151E-04, 1.92365E-04, 1.58876E-04, 9.60597E-04
115, 1.03497E-02, 4.47089E-03, 2.60793E-03, 5.30468E-03, 2.41951E-04, 1.93855E-04, 1.60130E-04, 9.81699E-04
116, 1.04543E-02, 4.48929E-03, 2.65382E-03, 5.33652E-03, 2.43752E-04, 1.95339E-04, 1.61383E-04, 1.00324E-03
117, 1.05563E-02, 4.50646E-03, 2.69945E-03, 5.36780E-03, 2.45542E-04, 1.96821E-04, 1.62636E-04, 1.02519E-03
118, 1.06556E-02, 4.52239E-03, 2.74481E-03, 5.39851E-03, 2.47325E-04, 1.98308E-04, 1.63889E-04, 1.04754E-03
119, 1.07522E-02, 4.53707E-03, 2.78983E-03, 5.42863E-03, 2.49090E-04, 1.99792E-04, 1.65140E-04, 1.07028E-03
120, 1.08459E-02, 4.55047E-03, 2.83450E-03, 5.45816E-03, 2.50860E-04, 2.01270E-04, 1.66390E-04, 1.09335E-03
121, 1.09367E-02, 4.56936E-03, 2.87877E-03, 5.48708E-03, 2.52626E-04, 2.02747E-04, 1.67642E-04, 1.11680E-03
122, 1.10245E-02, 4.58809E-03, 2.92259E-03, 5.51538E-03, 2.54387E-04, 2.04217E-04, 1.68893E-04, 1.14058E-03
123, 1.11178E-02, 4.60564E-03, 2.96594E-03, 5.54304E-03, 2.56136E-04, 2.05681E-04, 1.70142E-04, 1.16469E-03
124, 1.12786E-02, 4.62201E-03, 3.00876E-03, 5.57004E-03, 2.57891E-04, 2.07138E-04, 1.71389E-04, 1.18908E-03
125, 1.14379E-02, 4.64866E-03, 3.05103E-03, 5.59639E-03, 2.59632E-04, 2.08592E-04, 1.72628E-04, 1.21376E-03
126, 1.15957E-02, 4.69611E-03, 3.09269E-03, 5.62205E-03, 2.61373E-04, 2.10058E-04, 1.73864E-04, 1.23873E-03
