time_step, rel_err_u, rel_err_v, rel_err_w, rel_err_p, rel_err_u_star, rel_err_v_star, rel_err_w_star, rel_err_dp
171, 4.15346E-04, 3.49592E-04, 1.79633E-04, 1.70557E-04, 1.64114E-05, 1.48570E-05, 1.06354E-05, 1.59391E-05
172, 4.14962E-04, 3.44829E-04, 1.79287E-04, 1.70302E-04, 1.63654E-05, 1.47873E-05, 1.05990E-05, 1.61750E-05
173, 4.14893E-04, 3.39653E-04, 1.78825E-04, 1.69927E-04, 1.63201E-05, 1.47177E-05, 1.05639E-05, 1.64199E-05
174, 4.15126E-04, 3.34078E-04, 1.79351E-04, 1.69433E-04, 1.62764E-05, 1.46492E-05, 1.05287E-05, 1.66738E-05
175, 4.15641E-04, 3.28122E-04, 1.80451E-04, 1.68821E-04, 1.62334E-05, 1.45816E-05, 1.04917E-05, 1.69346E-05
176, 4.16417E-04, 3.27203E-04, 1.81428E-04, 1.68091E-04, 1.61908E-05, 1.45134E-05, 1.04537E-05, 1.72015E-05
177, 4.17424E-04, 3.26498E-04, 1.82282E-04, 1.67244E-04, 1.61476E-05, 1.44442E-05, 1.04166E-05, 1.74738E-05
178, 4.18631E-04, 3.25353E-04, 1.83012E-04, 1.66282E-04, 1.61040E-05, 1.43741E-05, 1.03813E-05, 1.77518E-05
179, 4.20003E-04, 3.23770E-04, 1.83618E-04, 1.65207E-04, 1.60600E-05, 1.43044E-05, 1.03462E-05, 1.80365E-05
180, 4.21501E-04, 3.21756E-04, 1.84100E-04, 1.64020E-04, 1.60169E-05, 1.42384E-05, 1.03107E-05, 1.83269E-05
181, 4.28785E-04, 3.19316E-04, 1.84460E-04, 1.63280E-04, 1.59741E-05, 1.41734E-05, 1.02760E-05, 1.86201E-05
182, 4.39489E-04, 3.16457E-04, 1.84697E-04, 1.62738E-04, 1.59310E-05, 1.41097E-05, 1.02415E-05, 1.89146E-05
183, 4.49974E-04, 3.13187E-04, 1.84814E-04, 1.62062E-04, 1.58874E-05, 1.40484E-05, 1.02070E-05, 1.92092E-05
